wkt_geom,NAME,ADDRESS,POSTAL,CITY,TYPE,LONGITUDE,LATITUDE
1,Church Of Jesus Christ Of La,851 Ossington Ave,M6G3V2,Toronto,Christian,-79.42613356,43.66505014
2,Dufferin St Baptist Church,1219 Dufferin St,M6H4C2,Toronto,Christian,-79.43769612,43.66609009
3,Dovercourt Presbyterian Chur,700 Dovercourt Rd,,Toronto,Christian,-79.42892435,43.65912758
4,Dovercourt Baptist Church,1140 Bloor St W,M6H4E6,Toronto,Christian,-79.4360228,43.65994327
5,Belarussian Autocephlous,524 St Clarens Ave,M6H3W7,Toronto,Christian,-79.44300152,43.66095365
6,The Buddhist Assocation Of C,1326 Bloor St W,M6H1P2,Toronto,Buddhist,-79.4433669,43.6584375
7,Buddhist Association of Canada,1330 Bloor St W,M6H1P2,Toronto,Buddhist,-79.44337186,43.65848145
8,Church Of The Crusaders,1307 Bloor St W,M6H1P1,Toronto,Christian,-79.44349294,43.65808401
9,Britten Memorial Church,1287 Bloor St W,M6H1N7,Toronto,Christian,-79.44253604,43.6581689
10,Our Lady Of Croatia,7 Croatia St,M6H1K8,Toronto,Catholic,-79.43709435,43.65766276
11,Apostles Of Infinite Love,512 Dovercourt Rd,M6H2W4,Toronto,Christian,-79.42739999,43.6553737
12,Crawford Street Church,631 Crawford St,M6G3K1,Toronto,Christian,-79.42090642,43.66064655
13,Church Of St Mary Magdalene,469 Manning Ave,M6G 2V6,Toronto,Christian,-79.41377201,43.6590284
14,College Street United Church,456 College St,M6G4A3,Toronto,Christian,-79.40836954,43.6566249
15,Zen Buddhist Temple,297 College St,M5T1S2,Toronto,Buddhist,-79.40147353,43.65720113
16,Bathurst United Church,427 Bloor St W,M5S1X7,Toronto,Christian,-79.40571106,43.66604798
17,Bloor St United Church,300 Bloor St W,M5S1W3,Toronto,Christian,-79.40201804,43.66740318
18,Covenant Christian Church,455 Huron St,M5R3P2,Toronto,Christian,-79.40144169,43.66776642
19,Toronto Bahai Centre,288 Bloor St W,M5S1V8,Toronto,Bahai,-79.4013342,43.66743772
20,Tengye Ling Tibetan Temple,11 Madison Ave,M5R2S2,Toronto,Buddhist,-79.40275711,43.66780162
21,Church Of The Redeemer,162 Bloor St W,M5S1M4,Toronto,Christian,-79.3940147,43.66913765
22,Nalandabodhi Toronto Study Group,55 Maitland St,M4Y1C9,Toronto,Buddhist,-79.38160452,43.66411639
23,Toronto Diamond Way Buddhist Center,25 St Nicholas St,M4Y1W5,Toronto,Buddhist,-79.38562944,43.66565754
24,Canadian Chinese Buddhist Ming-Yuet Society,22 Cecil St,M5T1N2,Toronto,Buddhist,-79.39597989,43.65707492
25,Church Of The Toronto Nians,24 Cecil St,M5T1N2,Toronto,Christian,-79.3961563,43.65696081
26,Chuen Te Buddhist Society,204 Beverley St,M5T1Z1,Toronto,Buddhist,-79.39522615,43.6567886
27,Chinese Presbyterian Church,177 Beverley St,M5T1Y7,Toronto,Christian,-79.39425109,43.65557777
28,Church Of St George,197 John St,M5T1X6,Toronto,Christian,-79.39096745,43.65154594
29,Chinese Gospel Church,450 Dundas St W,M5T1G7,Toronto,Christian,-79.39603916,43.6535852
30,Assemblies Of The First Born,257 Euclid Ave,M6J2K1,Toronto,Christian,-79.40987825,43.65271173
31,Buddhist Education Foundation for Canada,300 Bathurst St,M5T2S3,Toronto,Buddhist,-79.40577221,43.65077789
32,Tai Bay Buddhist Temple,300 Bathurst St,M5T2S3,Toronto,Buddhist,-79.40577221,43.65077789
33,Ching Kwok Buddhist Temple,300 Bathurst St,M5T2S3,Toronto,Buddhist,-79.40577221,43.65077789
34,Church Of The Assumption,276 Bathurst St,M5T2S3,Toronto,Christian,-79.40548246,43.65010501
35,Chinese Grace Baptist Church,20 Claremont St,M6J2M4,Toronto,Christian,-79.41016698,43.64693783
36,Evangel Hall,573 Queen St W,M5V2B6,Toronto,Christian,-79.40100809,43.64759046
37,Fu Sien Buddhist Temple,185 Niagara St,M5V1C9,Toronto,Buddhist,-79.40700543,43.64207914
38,Church Of The Epiphany & St,201 Cowan Ave,M6K 2N7,Toronto,Christian,-79.43229171,43.64075482
39,Bonar-Parkdale Presbyterian,250 Dunn Ave,M6K2R9,Toronto,Christian,-79.43461168,43.64014883
40,Nine Mountains Zem Gate Soc.,1000 Queen St W,M6J 1H1,Toronto,Buddhist,-79.41872232,43.64444374
41,Church In The Great Hall,1089 Queen St W,,Toronto,Christian,-79.42211027,43.6432965
42,Amida Temple,1120A Queen St W,M6J 1H9,Toronto,Buddhist,-79.42348381,43.64345934
43,Chua Adida,1120A Queen St W,M6J 1H9,Toronto,Christian,-79.42348381,43.64345934
44,Salvation Army Scarborough Citadel,2021 Lawrence Ave E,M1R2Z2,Toronto,Christian,-79.29501322,43.74505637
45,Church Of The First Born Apo,54 Moutray St,M6K1W5,Toronto,Christian,-79.4351329,43.65166274
46,Brock Ave Gospel Hall,311 Brock Ave,M6K2M5,Toronto,Christian,-79.43561391,43.65037916
47,Hope United Ministries,2550 Danforth Ave,M4C1L2,Toronto,Christian,-79.3021991,43.6882697
48,Centre of Gravity Sangha,56 Fern Ave,M6R1K1,Toronto,Buddhist,-79.44252514,43.6459106
49,Chua Linh-Son,1A Howard Park Ave,M6R1V3,Toronto,Buddhist,-79.44874918,43.65183363
50,Toronto Zen Centre,33 High Park Gdns,M6R1S8,Toronto,Buddhist,-79.45700336,43.64873937
51,Emanuel Howard Park United C,240 Roncesvalles Ave,M6R2L8,Toronto,Christian,-79.44921972,43.64557176
52,Mindfulness Practice Community,214 Wright Ave,M6R1L3,Toronto,Buddhist,-79.44892113,43.64562902
53,Roman Catholic Episcopal,150 Roncesvalles Ave,,Toronto,Catholic,-79.44844109,43.64381229
54,St Pius X Church,2305 Bloor St W,M6S1P1,Toronto,Catholic,-79.47934559,43.65020502
55,Farmer Memorial Baptist Chur,293 South Kingsway,M6S3V4,Toronto,Christian,-79.48438077,43.64792569
56,All Saints Church,2850 Bloor St W,M8X1B2,Toronto,Christian,-79.50505761,43.64908914
57,Church Of The Transfiguratio,15 Aldgate Ave,,Toronto,Christian,-79.48683631,43.63069007
