ID,NAME,POSTAL,ADDRESS,TYPE,Latitude,Longitude
1,126 Scollard Street (former Olivet Congregational Chapel),,126 Scollard Street,Non-religious,43.671543,-79.393353
2,Manor Road United Church,,240 Manor Road East,United Church,43.705295,-79.385315
3,Ennerdale Road Baptist Church,,228 Ennerdale Road,Baptist,43.694391,-79.453515
4,Yorkminster Park Baptist Church,,1585 Yonge Street,Baptist,43.690829,-79.394198
5,Anglican Church of the Incarnation,,15 Clairtrell Road,Anglican,43.767472,-79.390066
6,"39 Knox Avenue (formerly Rehoboth Worship Centre, formerly Pine Ridge Presbyterian Church)",,39 Knox Avenue,Unknown,43.759148,-79.572029
7,Maranatha Fellowship Church of the Deaf,,1307 Bloor Street West,Associated Gospel,43.658022,-79.443539
8,40 Westmoreland Avenue (formerly Church of St. Mary the Virgin and St. Cyprian),,40 Westmoreland Avenue,Non-religious,43.661936,-79.431225
9,4160 Dundas Street West (formerly Lambton Mills Methodist Church),,4160 Dundas Street West,Non-religious,43.661511,-79.509118
10,Annunciation of the Blessed Virgin Mary Roman Catholic Church,,3 Combermere Drive,Roman Catholic,43.755516,-79.315131
11,506 College Street (formerly Portuguese Seventh-Day Adventist Church and College Street Baptist Church),,506 College Street,Non-religious,43.660712,-79.386446
12,Maurice Cody Memorial Hall (Old St. Paul's Anglican Church),,227 Bloor Street East,Anglican,43.671148,-79.381596
13,Living Hope Presbyterian Church,,118 Ninth Street,Presbyterian,43.599429,-79.507544
14,Anshei Minsk,,10 St. Andrew Street,Judaism - Orthodox,43.654494,-79.399315
15,Agricola Evangelical Lutheran Church,,25 Old York Mills Road,Lutheran,43.743541,-79.404462
16,Church of Jesus Christ of Latter-day Saints,,395 McCowan Road,Church of Jesus Christ of Latter-day Saints (Mormon),43.741288,-79.238639
17,Living Hope Baptist Church,,66 10th Street,Baptist,43.786748,-79.205588
18,Medhan El Alem – Eritrean Orthodox Tev Ahdo Church,,1 Ramsden Road,Other,43.696748,-79.450926
19,Melville Presbyterian Church,,70 Old Kingston Road,Presbyterian,43.776791,-79.181174
20,Alderwood United Church,,44 Delma Drive,United Church,43.60333,-79.551144
21,Members in Christ Assembly Church,,764 Ellesmere Road,Members of Christ Assembly,43.764372,-79.287276
22,Metamorphosis Greek Orthodox Church,,40 Donlands Avenue,Greek Orthodox,43.68132,-79.338076
23,Metro Church of God,,236 Nairn Avenue,Church of God,43.683728,-79.451732
24,Metropolitan Community Church/Simpson Avenue United Church,,115 Simpson Avenue,Metropolitan Community Church (MCC),43.667097,-79.347744
25,Metropolitan United Church,,56 Queen Street East,United Church,43.653916,-79.376738
26,Midland Park Baptist Church,,5 Treewood Street,Baptist,43.753871,-79.263589
27,Macpherson Church Lofts (former Century Baptist Church),,12 Macpherson Avenue,Non-religious,43.679182,-79.391453
28,Church of the Atonement,,256 Sheldon Avenue,Anglican,43.608521,-79.546514
29,Church of the Ascension,,33 Overland Drive,Anglican,43.732251,-79.347596
30,Mimico Baptist Church,,80 Hillside Avenue,Baptist,43.610669,-79.4946
31,Mimico Presbyterian Church,,119 Mimico Avenue,Presbyterian,43.612215,-79.496131
32,All Saints Anglican Church,,223 Sherbourne Street,Anglican,43.658306,-79.370998
33,All Saints Greek Orthodox Church,,3125 Bayview Avenue,Greek Orthodox,43.781558,-79.390813
34,All Saints Kingsway Anglican Church,,2850 Bloor Street West,Anglican,43.649066,-79.505055
35,All Saints Roman Catholic Church,,1415 Royal York Road,Roman Catholic,43.684656,-79.527124
36,Bathurst Street Theatre (former Methodist church),,730 and 736 Bathurst Street,Non-religious,43.663583,-79.41084
37,Armadale Free Methodist Church,,400 Passmore Avenue,Free Methodist,43.828985,-79.258082
38,Morningside-High Park Presbyterian Church,,4 Morningside Avenue,Presbyterian,43.646637,-79.473058
39,Morningstar Christian Fellowship,,7601 Sheppard Avenue East,Baptist,43.801086,-79.201493
40,Mother of God of Prousa Greek Orthodox Church,,461 Richmond Street East,Greek Orthodox,43.653954,-79.365858
41,Armenian Brotherhood Bible Chapel,,2755 Victoria Park Avenue,Other,43.779711,-79.324617
42,Mount Dennis Baptist Church,,1272 Weston Road,Baptist,43.688586,-79.494687
43,Mount Dennis United Church,,71 Guestville Avenue,United Church,43.683973,-79.488888
44,Mount Pleasant Road Baptist Church,,527 Mount Pleasant Road,Baptist,43.702356,-79.387529
45,Armour Heights Presbyterian Church,,105 Wilson Avenue,Presbyterian,43.740644,-79.41654
46,Asbury and West United Church,,3180 Bathurst Street,United Church,43.722692,-79.431371
47,Former Toronto Brock Avenue Gospel Hall,,311 Brock Avenue,Evangelical,43.65049,-79.435843
48,Boon Avenue Baptist Church,,9 Boon Avenue,Baptist,43.677836,-79.446149
49,Beach Hebrew Institute (The Beach Synagogue),,109 Kenilworth Avenue,Judaism - Conservative,43.669317,-79.301463
50,Nativity of Our Lord Roman Catholic Church,,480 Rathburn Road,Roman Catholic,43.652715,-79.576411
51,Beach United Church,,140 Wineva Avenue,United Church,43.671598,-79.296377
52,Nativity of the Mother of God Ukrainian Catholic Church,,257 Shaw Street,Ukrainian Catholic,43.649009,-79.417851
53,Neighbourhood Unitarian Universalist Church,,79 Hiawatha Road,Canadian Unitarian Council,43.670858,-79.322228
54,Baha'i Centre,,288 Bloor Street West,Baha'i,43.667401,-79.401295
55,Christ Church Deer Park,,1570 Yonge Street,Anglican,43.690256,-79.395672
56,Beaches Presbyterian Church,,65 Glen Manor Drive,Presbyterian,43.671115,-79.292096
57,Church of St. Timothy,,100 Old Orchard Grove,Anglican,43.73411,-79.409085
58,Belarusan Autocephalous Orthodox Church,,524 St. Clarens Avenue,Other,43.660966,-79.442861
59,New Dawn Moravian Church,,7 Glenora Avenue,Moravian Church,43.691881,-79.438578
60,New Gate Presbyterian Church,,240 The Westway,Presbyterian,43.687384,-79.54974
61,New Hope Community Church,,48 Bloem Avenue,United Brethren Church in Canada,43.685999,-79.448457
62,New Jerusalem Spanish Church,,312 Oakwood Avenue,Pentecostal,43.685318,-79.438129
63,New Life Christian Church,,480 Huntingwood Drive,Brethren in Christ Church,43.78461,-79.314734
64,Church of St. Stephen,,2259 Jane Street,Anglican,43.726731,-79.50956
65,New St. Margaret's-in-the-Pines,,4130 Lawrence Avenue East,Anglican,43.768598,-79.192784
