ID,NAME,ADDRESS,LATITUDE,LONGITUDE
MET0430,"TNO - The Neighbourhood Organization, Flemingdon Park Office","10 Gateway Blvd, Suite 104
Toronto, ON     M3C 3A1",43.709821,-79.332613
MET0870,"YMCA of Greater Toronto, Scarborough Milner Business Court Centre, Newcomer Information Centre","10 Milner Business Court, Suite 600
Toronto, ON     M1B 3C6",43.788724,-79.235729
MET1491,"COSTI Immigrant Services, Ralph Chiodo Family Immigrant Reception Centre","100 Lippincott St
Toronto, ON     M5S 2P1",43.657678,-79.407047
MET0611,Lighthouse,"1008 Bathurst St
Toronto, ON     M5R 3G7",43.670704,-79.413671
MET1054,Sojourn House,"101 Ontario St
Toronto, ON     M5A 2V2",43.654499,-79.366777
MET6547,Conseil scolaire catholique MonAvenir,"110 Drewry Ave, 3rd Fl
Toronto, ON     M2M 1C8",43.786554,-79.423707
MET0778,OCASI,"110 Eglinton Ave W, Suite 200
Toronto, ON     M4R 1A3",43.706305,-79.401777
MET0556,"Griffin Centre, Mental Health Services","1124 Finch Ave W, Unit 1
Toronto, ON     M3J 2E2",43.769084,-79.476347
MET0607,Learning Enrichment Foundation,"116 Industry St
Toronto, ON     M6M 4L8",43.693991,-79.492714
MET5637,"Learning Enrichment Foundation, Language Instruction for Newcomers to Canada","116 Industry St
Toronto, ON     M6M 4L8",43.693991,-79.492714
MET1109,Tesoc Multicultural Settlement Services,"1160 Birchmount Rd, Unit 1A
Toronto, ON     M1P 2B8",43.740736,-79.283526
MET0721,"Vietnamese Association, Toronto, Scarborough Office","11A Glen Watford Dr, Unit 220
Toronto, ON     M1S 2B8",43.786535,-79.275601
MET1883,"East Metro Youth Services, Reaching Youth Through Engagement Programs","1200 Markham Rd, Suite 200
Toronto, ON     M1H 3C3",43.777299,-79.23315
MET3169,"Settlement Assistance and Family Support Services, Head Office","1200 Markham Rd, Suite 214
Toronto, ON     M1H 3C3",43.777299,-79.23315
MET2268,"East Metro Youth Services, Newcomer Youth Program","1200 Markham Rd, Suite 313
Toronto, ON     M1H 3C3",43.777299,-79.23315
MET3599,"Canadian Mental Health Association, Toronto Branch, Markham Road Site, Support Services (East)","1200 Markham Rd, Suite 500
Toronto, ON     M1H 3C3",43.777299,-79.23315
MET0396,"Catholic Crosscultural Services, Scarborough-Markham Site","1200 Markham Rd, Suite 503
Toronto, ON     M1H 3C3",43.777299,-79.23315
MET3498,Oasis Dufferin Community Centre,"1219 Dufferin St
Toronto, ON     M6H 4C2",43.66609,-79.437696
TCH1312,Parkdale Community Health Centre,"1229 Queen St W
Toronto, ON     M6K 1L2",43.642,-79.4296
MET3178,Parkdale Intercultural Association,"1257 Queen St W
Toronto, ON     M6K 1L5",43.641519,-79.430961
MET2412,"Learning Enrichment Foundation, Weston Road Site","1267 Weston Rd
Toronto, ON     M6M 4R2",43.688847,-79.49433
MET1609,Association of Spanish Speaking Seniors of the Greater Toronto Area,"1280 Finch Ave W, Unit 203
Toronto, ON     M3J 3K6",43.764457,-79.488789
MET0019,Afghan Association of Ontario,"130 Bridgeland Ave, Unit 202
Toronto, ON     M6A 1Z4",43.725944,-79.463092
MET0225,CANES Community Care,"135 Queens Plate Dr, Suite 400
Toronto, ON     M9W 6V1",43.716847,-79.591922
MET1205,"Vietnamese Association, Toronto, Dundas Street West Office","1364 Dundas St W
Toronto, ON     M6J 1Y2",43.649623,-79.427814
MET1891,"St Stephen's Community House, Employment and Training Centre, Connections Program","1415 Bathurst St, Suite 100
Toronto, ON     M5R 3H8",43.681441,-79.417253
MET1254,Red Door Family Shelter,"1430 Gerrard St E
Toronto, ON     M4L 1Z6",43.672337,-79.322282
MET0878,"WoodGreen Community Services, Bridging Programs for Internationally Trained Professionals","1491 Danforth Ave
Toronto, ON     M4J 1N5",43.682767,-79.325735
MET3504,"West Neighbourhood House, Queen St West Site, Parkdale Community Programs","1497 Queen St W, Suite 103
Toronto, ON     M6R 1A3",43.639646,-79.440421
MET0595,"West Neighbourhood House, Ossington Site, Immigrant and Refugee Services Program","1497 Queen St W, Unit 103
Toronto, ON     M6R 1A3",43.639646,-79.440421
MET2821,Afghan Women's Organization,"150 Consumers Rd, Suite 203
Toronto, ON     M2J 1P9",43.773404,-79.331314
MET1482,"Working Women Community Centre, Victoria Park Hub","1527 Victoria Park Ave, 2nd Fl
Toronto, ON     M1L 2T3",43.726338,-79.302191
MET2130,"Family Service Toronto, Victoria Park Hub, Community Connections Mentorship Program","1527 Victoria Park Ave, 2nd Fl
Toronto, ON     M1L 2T3",43.726338,-79.302191
MET2766,"Midaynta Community Services, Jane Street Hub","1541 Jane St
Toronto, ON     M9N 2R3",43.698544,-79.501939
MET2133,Romero House,"1558 Bloor St W
Toronto, ON     M6P 1A4",43.656276,-79.453417
MET1128,"Centre for Immigrant and Community Services, Woodside Square LINC Centre","1571 Sandhurst Circle, Unit 202
Toronto, ON     M1V 1V2",43.808894,-79.269854
MET3148,Abrigo Centre,"1645 Dufferin St
Toronto, ON     M6H 3L9",43.677187,-79.442615
MET0292,Community Action Resource Centre,"1652 Keele St
Toronto, ON     M6M 3W3",43.683897,-79.472893
MET1505,"For Youth Initiative, Youth Settlement Services","1652 Keele St, Lower Level
Toronto, ON     M6M 3W3",43.683872,-79.472927
MET1303,"Midaynta Community Services, Keele Street Office","1652 Keele St, Suite 104
Toronto, ON     M6M 3W3",43.683872,-79.472927
MET4664,York Hispanic Centre,"1652 Keele St, Suite 107
Toronto, ON     M6M 3W3",43.683897,-79.472893
MET0314,COSTI Immigrant Services,"1710 Dufferin St
Toronto, ON     M6E 3P2",43.678846,-79.443685
MET1917,Canadian Human Rights International Organization,"1725 Finch Ave W
Toronto, ON     M3N 1M6",43.759693,-79.50609
MET0278,VWAT Family Services,"1756 St Clair Ave W
Toronto, ON     M6N 1J3",43.674272,-79.460893
MET1129,"Centre for Immigrant and Community Services, North York Office","1761 Sheppard Ave E, Ground Floor
Toronto, ON     M2J 0A5",43.775581,-79.343183
