ID,NAME,ADDRESS_OR_INTERSECTION,POSTAL_CODE,FORMER_MUNICIPALITY,GC_LONGITUDE,GC_LATITUDE,TYPE
1,Garden Court Nursing Home,1 Sand Beach Rd,M8V 2W2,Etobicoke,-79.49690424,43.60194327,Long Term Care
2,Fieldstone Commons Care Community,1000 Ellesmere Rd,M1P 5G2,Scarborough,-79.27774529,43.76715334,Long Term Care
3,Craiglee Nursing Home,102 Craiglee Dr,M1N 2M7,Scarborough,-79.25307464,43.7069108,Long Term Care
4,Tendercare Living Centre,1020 McNicoll Ave,M1W 2J6,Scarborough,-79.33601301,43.80577174,Both
5,Heritage Nursing Home,1195 Queen St E,M4M 1L6,former Toronto,-79.33115923,43.66253091,Long Term Care
6,Norwood Long Term Care Facility,122 Tyndall Ave,M6K 2E2,former Toronto,-79.42932661,43.63755174,Long Term Care
7,Midland Gardens Care Community,130 Midland Ave,M1N 4B2,Scarborough,-79.24777312,43.70833698,Long Term Care
8,Chartwell White Eagle Long Term Care Residence,138 Dowling Ave,M6K 3A6,former Toronto,-79.43921939,43.63718222,Long Term Care
9,Fairview Nursing Home,14 Cross St,M6J 1S8,former Toronto,-79.42843845,43.64802897,Long Term Care
10,Kennedy Lodge Nursing Home,1400 Kennedy Rd,M1P 4V6,Scarborough,-79.28063623,43.76267935,Long Term Care
11,Lakeside Long-Term Care Centre University Health Network Toronto Rehabilitation Institute,150 Dunn Ave,M6K 2R6,former Toronto,-79.43297726,43.63580909,Long Term Care
12,Salvation Army - Isabel and Arthur Meighen Manor,155 Millwood Rd,M4S 1J6,former Toronto,-79.3925394,43.69999242,Long Term Care
13,Rekai Centres - Wellesley Central Place,160 Wellesley St E,M4Y 1J2,former Toronto,-79.37547648,43.66700894,Long Term Care
14,Rose of Sharon - Korean Long Term Care Home,17 Maplewood Ave,M6C 4B3,York,-79.42165301,43.68583606,Long Term Care
15,Fountain View Care Community,1800 O'Connor Dr,M4A 1W7,North York,-79.30486405,43.72047322,Long Term Care
16,Harmony Hills Care Community,1800 O'Connor Dr,M4A 1W7,North York,-79.30486405,43.72047322,Long Term Care
17,Wexford Residence (The),1860 Lawrence Ave E,M1R 5B1,Scarborough,-79.30308064,43.74407061,Long Term Care
18,Seniors' Health Centre - Long Term Care Home North York General Hospital,2 Buchan Court,M2J 5A3,North York,-79.35945445,43.77307421,Long Term Care
19,True Davidson Acres - Long-Term Care Home,200 Dawes Rd,M4C 5M8,East York,-79.2982691,43.69583663,Long Term Care
20,Mon Sheong - Scarborough - Long-Term Care Centre,2030 McNicoll Ave,M1V 5P4,Scarborough,-79.30021093,43.81306824,Long Term Care
21,Sunnybrook Veterans Centre Canada. Veterans Affairs Canada - Toronto-Sunnybrook Service Centre,2075 Bayview Ave,M4N 3M5,North York,-79.37787537,43.72193765,Long Term Care
22,Hellenic Care for Seniors Toronto Hellenic Home for the Aged,215 Tyrrel Ave,M6G 4A9,former Toronto,-79.43033856,43.67678541,Long Term Care
23,Kipling Acres,2233 Kipling Ave,M9W 4L3,Etobicoke,-79.57188977,43.72512809,Long Term Care
24,St George Care Community,225 St George St,M5R 2M2,former Toronto,-79.40146212,43.6725377,Long Term Care
25,Long-Term Care Home Yee Hong Centre for Geriatric Care - Scarborough-McNicoll,2311 McNicoll Ave,M1V 5L3,Scarborough,-79.29049398,43.81436799,Long Term Care
26,Hellenic Home - Scarborough,2411 Lawrence Ave E,M1P 4X1,Scarborough,-79.27437183,43.74930098,Long Term Care
27,Kensington Gardens,25 Brunswick Ave,M5S 2L9,former Toronto,-79.40394273,43.65808907,Long Term Care
28,Long-Term Care Facility St Clair O'Connor Community,2701 St Clair Ave E,M4B 1M5,East York,-79.31185675,43.70544886,Long Term Care
29,Maynard Nursing Home,28 Halton St,M6J 1R3,former Toronto,-79.41915073,43.64893837,Long Term Care
30,Bendale Acres - Long-Term Care Home,2920 Lawrence Ave E,M1P 2T8,Scarborough,-79.25215917,43.75489511,Long Term Care
31,Rockcliffe Care Community,3015 Lawrence Ave E,M1P 2V7,Scarborough,-79.24795157,43.75467523,Long Term Care
32,Lakeshore Lodge - Long-Term Care Home,3197 Lake Shore Blvd W,M8V 3X5,Etobicoke,-79.51855744,43.59734568,Long Term Care
33,Houses of Providence Providence Healthcare,3276 St Clair Ave E,M1L 1W1,Scarborough,-79.28519623,43.71395939,Long Term Care
34,O'Neill Centre (The),33 Christie St,M6G 3B1,former Toronto,-79.41860115,43.66478654,Both
35,Trilogy Long-Term Care Centre,340 McCowan Rd,M1J 3P4,Scarborough,-79.23866169,43.73822195,Long Term Care
36,Rekai Centres - Sherbourne Place,345 Sherbourne St,M5A 2S3,former Toronto,-79.3724265,43.66270718,Long Term Care
37,Elm Grove Living Centre,35 Elm Grove Ave,M6K 2J2,former Toronto,-79.43074751,43.64033384,Long Term Care
38,Castleview Wychwood Towers - Long-Term Care Home,351 Christie St,M6G 3C3,former Toronto,-79.42116976,43.67338083,Long Term Care
39,Chester Village,3555 Danforth Ave,M1L 1E3,Scarborough,-79.27473748,43.69378688,Long Term Care
40,Apotex Centre - Jewish Home for the Aged Baycrest,3560 Bathurst St,M6A 2E1,North York,-79.43414656,43.7300642,Long Term Care
41,Mon Sheong Foundation - Home for the Aged,36 D'Arcy St,M5T 1J7,former Toronto,-79.39335955,43.65525812,Long Term Care
42,Shepherd Lodge Long Term Care Home Shepherd Village,3760 Sheppard Ave E,M1T 3K9,Scarborough,-79.29362333,43.78229723,Long Term Care
43,Extendicare - Scarborough,3830 Lawrence Ave E,M1G 1R6,Scarborough,-79.21059186,43.76359033,Long Term Care
44,Ina Grafton Gage Home,40 Bell Estate Rd,M1L 0E2,Scarborough,-79.2770757,43.70556801,Long Term Care
45,Ehatare Nursing Home,40 Old Kingston Rd,M1E 3J5,Scarborough,-79.1831327,43.77554999,Both
46,Wesburn Manor,400 The West Mall,M9C 5S1,Etobicoke,-79.56752671,43.64373537,Long Term Care
47,Cedarvale Terrace Long Term Care Facility,429 Walmer Rd,M5P 2X9,York,-79.41237739,43.68545497,Long Term Care
48,Fudger House - Long-Term Care Home,439 Sherbourne St,M4X 1K6,former Toronto,-79.37369472,43.66627962,Long Term Care
49,Labdara Lithuanian Nursing Home,5 Resurrection Rd,M9A 5G1,Etobicoke,-79.53086641,43.64389791,Long Term Care
50,Dom Lipa Nursing Home,52 Neilson Dr,M9C 1V7,Etobicoke,-79.56528016,43.62915569,Both
51,Belmont House,55 Belmont St,M5R 1R1,former Toronto,-79.39096681,43.67467957,Both
52,Toronto Long-Term Care Homes and Services,"55 John St, 11th Fl",M5V 3C6,former Toronto,-79.38893473,43.64616238,Long Term Care
53,Extendicare - Rouge Valley,551 Conlins Rd,M1B 5S1,Scarborough,-79.18897889,43.80373894,Long Term Care
54,Tony Stacey Centre for Veterans Care,59 Lawson Rd,M1C 2J1,Scarborough,-79.16331881,43.78331054,Long Term Care
55,Extendicare - Guildwood,60 Guildwood Pkwy,M1E 1N9,Scarborough,-79.20314937,43.74690803,Long Term Care
56,Long-Term Care Home Yee Hong Centre for Geriatric Care - Scarborough-Finch,60 Scottfield Dr,M1S 5T7,Scarborough,-79.25417061,43.809122,Long Term Care
57,Copernicus Lodge,66 Roncesvalles Ave,M6R 3A7,former Toronto,-79.44730758,43.64019946,Long Term Care
