ID,NAME,SCL_LVL,SCL_TP,BRD_NAME,SCL_TP_DSC,ADD_FULL,POSTAL_CD,MUN,LATITUDE,LONGITUDE
1,"CENTENNIAL COLLEGE, ASHTONBEE CAMPUS",,C,,College,75 Ashtonbee Rd,M1L 4N4,Scarborough,43.73070998,-79.28978994
2,"CENTENNIAL COLLEGE, CARLAW CAMPUS",,C,,College,951 Carlaw Ave,M4K 3M2,East York,43.68465985,-79.34886383
3,"CENTENNIAL COLLEGE, MIDLAND CAMPUS",,C,,College,1450 Midland Ave,M1P 4Z8,Scarborough,43.7523045,-79.26565895
4,"CENTENNIAL COLLEGE, MORNINGSIDE CAMPUS",,C,,College,755 Morningside Ave,M1C 5J9,Scarborough,43.78660651,-79.19292513
5,"CENTENNIAL COLLEGE, PROGRESS CAMPUS",,C,,College,941 Progress Ave,M1G 3T8,Scarborough,43.78527327,-79.22702962
6,GEORGE BROWN COLLEGE - CASA LOMA CAMPUS,,C,,College,160 Kendal Ave,M5R 1M3,former Toronto,43.67602093,-79.41104866
7,GEORGE BROWN COLLEGE - WATERFRONT CAMPUS,,C,,College,51 Dockside Dr,M5A 0B6,former Toronto,43.64393878,-79.3654695
8,GEORGE BROWN COLLEGE - YOUNG CENTRE FOR THE PERFORMING ARTS,,C,,College,50 Tank House Lane,M5A 3C4,former Toronto,43.65085093,-79.35745867
9,SENECA COLLEGE (JANE CAMPUS),,C,,College,21 Beverly Hills Dr,M3L 1A2,North York,43.71828155,-79.5098786
10,SENECA COLLEGE (NEWNHAM CAMPUS),,C,,College,1750 Finch Ave E,M2J 2X5,North York,43.79578942,-79.34899088
11,SENECA COLLEGE (SENECA AT YORK CAMPUS),,C,,College,70 The Pond Rd,M3J 3M6,North York,43.77128349,-79.49885756
12,SENECA COLLEGE (YORKGATE CAMPUS),,C,,College,1 York Gate Blvd,M3N 3A1,North York,43.75850714,-79.51944263
13,HUMBER COLLEGE - LAKESHORE CAMPUS,,C,,College,3199 Lake Shore Blvd W,M8V 1K8,Etobicoke,43.597241,-79.52035044
14,HUMBER COLLEGE - POWER BOATING AND SAILING,,C,,College,100 Humber Bay Park Rd W,M8V 3X7,Etobicoke,43.61877886,-79.48108454
15,HUMBER COLLEGE - UNIVERSITY OF GUELPH BUILDING,,C,,College,207 Humber College Blvd,,Etobicoke,43.72820208,-79.60587203
16,"UNIVERSITY OF GUELPH, HUMBER COLLEGE",,C,,College,207 Humber College Blvd,,Etobicoke,43.72820208,-79.60587203
17,GEORGE BROWN COLLEGE - ST JAMES CAMPUS,,C,,College,200 King St E,M5A 3W8,former Toronto,43.65110905,-79.37018888
18,HUMBER COLLEGE - NORTH CAMPUS,,C,,College,205 Humber College Blvd,M9W 5L7,Etobicoke,43.72916655,-79.60683987
