ID,Organizati,Office_Pho,E_Mail,Website,ADDRESS_OR,GC_WARD,GC_LONGITU,GC_LATITUD,GC_X,GC_Y,Type
1,Adventure Place Child and Family Centre,416-744-7650,intake@adventureplace.ca,www.adventureplace.ca,40 Orchard View Blvd,Eglinton-Lawrence (16),-79.358084,43.798982,316204.125,4850789.674,Developmental
2,"Addus, Orchard View Location",416-544-8847 ext 28,,www.addus.org,2901 Dufferin St,Eglinton-Lawrence (15),-79.400067,43.708278,312838.109,4840707.192,Developmental
3,"Cota, Main Office",Reception 416-785-9230,info@cotainspires.ca,www.cotainspires.ca,160 Springhurst Ave,Parkdale-High Park (14),-79.453112,43.70852,308563.156,4840730.11,Developmental
5,CORE,416-340-7929,core.centre@bellnet.ca,www.core-toronto.ca,581 Trethewey Dr,York South-Weston (12),-79.437078,43.636829,309861.33,4832766.519,Developmental
6,"Corbrook, West Campus",416-245-5565,info@corbrook.com,www.corbrook.com,401 Champagne Dr,York West (8),-79.492235,43.696444,305410.372,4839387.6,Developmental
7,Meta Centre,416-736-0199,,www.metacentre.ca,65 Hartsdale Dr,Etobicoke Centre (4),-79.474206,43.764228,306861.446,4846918.343,Developmental
8,Etobicoke Children's Centre,416-240-1111,ecc@etobicokechildren.com,www.etobicokechildren.com,112 Merton St,St. Paul's (22),-79.545231,43.683237,301137.678,4837921.459,Developmental
9,Geneva Centre for Autism,416-322-7877,info@autism.net,www.autism.net,1124 Finch Ave W,York West (8),-79.392809,43.69707,313424.367,4839463.582,Developmental
10,Griffin Centre,416-222-1153,contact@griffincentre.org,www.griffincentre.org,219 Dufferin St,Parkdale-High Park (14),-79.476262,43.7692,306695.486,4847471.584,Developmental
11,"Kerry's Place Autism Services, Toronto Region",416-537-2000,joe.persaud@kerrysplace.org,www.kerrysplace.org,20 Spadina Rd,Trinity-Spadina (20),-79.426218,43.636746,310737.634,4832757.896,Developmental
12,"Community Living Toronto, Central Region",416-968-0650,abradley@cltoronto.ca,www.communitylivingtoronto.ca,1630 Lawrence Ave W,York South-Weston (12),-79.405043,43.668555,312442.074,4836293.467,Developmental
13,Ontario Federation for Cerebral Palsy,416-244-9686,info@ofcp.ca,www.ofcp.ca,1179 King St W,Parkdale-High Park (14),-79.491425,43.706167,305475.573,4840467.787,Developmental
14,"Autism Ontario, Provincial Office",416-246-9592,mail@autismontario.com,www.autismontario.com,325 Milner Ave,Scarborough-Rouge River (42),-79.425194,43.639119,310820.04,4833021.665,Developmental
15,Aisling Discoveries Child and Family Centre,416-321-5464,email@aislingdiscoveries.on.ca,www.aislingdiscoveries.on.ca,2 Surrey Pl,Toronto Centre-Rosedale (27),-79.233348,43.789958,326244.849,4849810.778,Developmental
16,Surrey Place Centre,416-925-5141,info@surreyplace.on.ca,www.surreyplace.on.ca,825 Coxwell Ave,Beaches-East York (31),-79.388744,43.661151,313757.599,4835472.59,Developmental
17,Toronto East General Hospital,Switchboard 416-461-8272 ; Patient Directory Line 416-469-6487,community@tegh.on.ca,www.tegh.on.ca,3701 Danforth Ave,Scarborough Southwest (36),-79.324954,43.689832,318895.789,4838667.766,Developmental
18,Variety Village,416-699-7167,info@varietyvillage.on.ca,www.varietyvillage.ca,4301 Weston Rd,York West (7),-79.257226,43.698594,324352.8,4839654.886,Developmental
19,VITA Community Living Services,416-749-6234,klenahan@vitacls.org,www.vitacls.org,815 Danforth Ave,Toronto-Danforth (30),-79.545908,43.769567,301088.363,4847513.16,Developmental
20,"WoodGreen Community Services, Danforth Avenue Main Office, Housing and Community Supports",416-645-6000,,www.woodgreen.org,40 Samor Rd,Eglinton-Lawrence (15),-79.340974,43.679448,317606.516,4837511.481,Developmental
21,"Aptus Treatment Centre, Adult Day Program",416-633-5775,info@aptustc.com,www.aptustc.com,931 Progress Ave,Scarborough Centre (38),-79.458648,43.718377,308116.521,4841824.935,Developmental
22,"Corbrook, East Campus",416-431-9000,info@corbrook.com,www.corbrook.com,295 The West Mall,Etobicoke Centre (3),-79.230432,43.783736,326481.749,4849120.33,Developmental
23,"Community Living Toronto, Etobicoke/York Region",416-236-7621,,www.communitylivingtoronto.ca,1122 Finch Ave W,York West (8),-79.5613,43.635319,299838.212,4832598.683,Developmental
24,"Community Living Toronto, North York Region",416-225-7166,,www.communitylivingtoronto.ca,1712 Ellesmere Rd,Scarborough Centre (38),-79.475437,43.7694,306761.867,4847493.843,Developmental
25,"Community Living Toronto, Scarborough Region",416-438-6099,,www.communitylivingtoronto.ca,184 Galloway Rd,Scarborough East (43),-79.248169,43.77347,325057.371,4847976.328,Developmental
26,"East Metro Youth Services, Galloway Road Site, Developmental Services",416-724-7444,emys@emys.on.ca,www.emys.on.ca,61 Queen St E,Toronto Centre-Rosedale (28),-79.196127,43.764278,329250.833,4846968.15,Developmental
27,"St Michael's Hospital, Pediatric Ambulatory Clinic",416-867-3655,,www.stmichaelshospital.com,40 Wynford Dr,Don Valley West (26),-79.376288,43.652826,314763.622,4834549.145,Developmental
28,Surex Community Services,416-469-4109,colin.hamilton@surexcs.com,www.surexcs.com,225 Queen St E,Toronto Centre-Rosedale (28),-79.335756,43.724297,318017.413,4842494.938,Developmental
29,"Anishnawbe Health Toronto, Queen Street Site",416-360-0486,info@aht.ca,www.aht.ca,111 Anthony Rd,York Centre (9),-79.369822,43.654265,315284.976,4834709.769,Developmental
