Intersection,PX,year,infractions
JARVIS ST. AND KING ST.,3,2007,0
JARVIS ST. AND KING ST.,3,2008,0
JARVIS ST. AND KING ST.,3,2009,83
JARVIS ST. AND KING ST.,3,2010,187
JARVIS ST. AND KING ST.,3,2011,104
JARVIS ST. AND KING ST.,3,2012,94
JARVIS ST. AND KING ST.,3,2013,138
JARVIS ST. AND KING ST.,3,2014,97
JARVIS ST. AND KING ST.,3,2015,122
JARVIS ST. AND KING ST.,3,2016,200
JARVIS ST. AND KING ST.,3,2017,588
JARVIS ST. AND DUNDAS ST.,8,2007,0
JARVIS ST. AND DUNDAS ST.,8,2008,0
JARVIS ST. AND DUNDAS ST.,8,2009,346
JARVIS ST. AND DUNDAS ST.,8,2010,494
JARVIS ST. AND DUNDAS ST.,8,2011,365
JARVIS ST. AND DUNDAS ST.,8,2012,427
JARVIS ST. AND DUNDAS ST.,8,2013,303
JARVIS ST. AND DUNDAS ST.,8,2014,254
JARVIS ST. AND DUNDAS ST.,8,2015,290
JARVIS ST. AND DUNDAS ST.,8,2016,465
JARVIS ST. AND DUNDAS ST.,8,2017,0
JARVIS ST. AND ISABELLA ST.,12,2007,
JARVIS ST. AND ISABELLA ST.,12,2008,
JARVIS ST. AND ISABELLA ST.,12,2009,
JARVIS ST. AND ISABELLA ST.,12,2010,
JARVIS ST. AND ISABELLA ST.,12,2011,
JARVIS ST. AND ISABELLA ST.,12,2012,
JARVIS ST. AND ISABELLA ST.,12,2013,
JARVIS ST. AND ISABELLA ST.,12,2014,
JARVIS ST. AND ISABELLA ST.,12,2015,
JARVIS ST. AND ISABELLA ST.,12,2016,
JARVIS ST. AND ISABELLA ST.,12,2017,83
YONGE ST. AND LAWRENCE AVE.,55,2007,0
YONGE ST. AND LAWRENCE AVE.,55,2008,0
YONGE ST. AND LAWRENCE AVE.,55,2009,188
YONGE ST. AND LAWRENCE AVE.,55,2010,131
YONGE ST. AND LAWRENCE AVE.,55,2011,740
YONGE ST. AND LAWRENCE AVE.,55,2012,963
YONGE ST. AND LAWRENCE AVE.,55,2013,864
YONGE ST. AND LAWRENCE AVE.,55,2014,772
YONGE ST. AND LAWRENCE AVE.,55,2015,402
YONGE ST. AND LAWRENCE AVE.,55,2016,255
YONGE ST. AND LAWRENCE AVE.,55,2017,155
UNIVERSITY AVE. AND WELLINGTON ST.,76,2007,
UNIVERSITY AVE. AND WELLINGTON ST.,76,2008,
UNIVERSITY AVE. AND WELLINGTON ST.,76,2009,
UNIVERSITY AVE. AND WELLINGTON ST.,76,2010,
UNIVERSITY AVE. AND WELLINGTON ST.,76,2011,
UNIVERSITY AVE. AND WELLINGTON ST.,76,2012,
UNIVERSITY AVE. AND WELLINGTON ST.,76,2013,
UNIVERSITY AVE. AND WELLINGTON ST.,76,2014,
UNIVERSITY AVE. AND WELLINGTON ST.,76,2015,
UNIVERSITY AVE. AND WELLINGTON ST.,76,2016,
UNIVERSITY AVE. AND WELLINGTON ST.,76,2017,994
UNIVERSITY AVE. AND ADELAIDE ST.,78,2007,
UNIVERSITY AVE. AND ADELAIDE ST.,78,2008,
UNIVERSITY AVE. AND ADELAIDE ST.,78,2009,
UNIVERSITY AVE. AND ADELAIDE ST.,78,2010,
UNIVERSITY AVE. AND ADELAIDE ST.,78,2011,
UNIVERSITY AVE. AND ADELAIDE ST.,78,2012,
UNIVERSITY AVE. AND ADELAIDE ST.,78,2013,
UNIVERSITY AVE. AND ADELAIDE ST.,78,2014,
UNIVERSITY AVE. AND ADELAIDE ST.,78,2015,
UNIVERSITY AVE. AND ADELAIDE ST.,78,2016,
UNIVERSITY AVE. AND ADELAIDE ST.,78,2017,244
UNIVERSITY AVE. AND RICHMOND ST.,79,2007,
UNIVERSITY AVE. AND RICHMOND ST.,79,2008,
UNIVERSITY AVE. AND RICHMOND ST.,79,2009,
UNIVERSITY AVE. AND RICHMOND ST.,79,2010,
UNIVERSITY AVE. AND RICHMOND ST.,79,2011,
UNIVERSITY AVE. AND RICHMOND ST.,79,2012,
UNIVERSITY AVE. AND RICHMOND ST.,79,2013,
UNIVERSITY AVE. AND RICHMOND ST.,79,2014,
UNIVERSITY AVE. AND RICHMOND ST.,79,2015,
UNIVERSITY AVE. AND RICHMOND ST.,79,2016,
UNIVERSITY AVE. AND RICHMOND ST.,79,2017,1334
UNIVERSITY AVE. AND QUEEN ST.,80,2007,
UNIVERSITY AVE. AND QUEEN ST.,80,2008,
UNIVERSITY AVE. AND QUEEN ST.,80,2009,
UNIVERSITY AVE. AND QUEEN ST.,80,2010,
UNIVERSITY AVE. AND QUEEN ST.,80,2011,
UNIVERSITY AVE. AND QUEEN ST.,80,2012,
UNIVERSITY AVE. AND QUEEN ST.,80,2013,
UNIVERSITY AVE. AND QUEEN ST.,80,2014,
UNIVERSITY AVE. AND QUEEN ST.,80,2015,
UNIVERSITY AVE. AND QUEEN ST.,80,2016,
UNIVERSITY AVE. AND QUEEN ST.,80,2017,740
EGLINTON AVE. AND MOUNT PLEASANT RD.,92,2007,0
EGLINTON AVE. AND MOUNT PLEASANT RD.,92,2008,0
EGLINTON AVE. AND MOUNT PLEASANT RD.,92,2009,93
EGLINTON AVE. AND MOUNT PLEASANT RD.,92,2010,221
EGLINTON AVE. AND MOUNT PLEASANT RD.,92,2011,156
EGLINTON AVE. AND MOUNT PLEASANT RD.,92,2012,109
EGLINTON AVE. AND MOUNT PLEASANT RD.,92,2013,121
EGLINTON AVE. AND MOUNT PLEASANT RD.,92,2014,143
EGLINTON AVE. AND MOUNT PLEASANT RD.,92,2015,149
EGLINTON AVE. AND MOUNT PLEASANT RD.,92,2016,24
EGLINTON AVE. AND MOUNT PLEASANT RD.,92,2017,0
EGLINTON AVE. AND SPADINA RD.,99,2007,0
EGLINTON AVE. AND SPADINA RD.,99,2008,0
EGLINTON AVE. AND SPADINA RD.,99,2009,0
EGLINTON AVE. AND SPADINA RD.,99,2010,752
EGLINTON AVE. AND SPADINA RD.,99,2011,813
EGLINTON AVE. AND SPADINA RD.,99,2012,954
EGLINTON AVE. AND SPADINA RD.,99,2013,774
EGLINTON AVE. AND SPADINA RD.,99,2014,683
EGLINTON AVE. AND SPADINA RD.,99,2015,683
EGLINTON AVE. AND SPADINA RD.,99,2016,713
EGLINTON AVE. AND SPADINA RD.,99,2017,975
AVENUE RD. AND LAWRENCE AVE.,119,2007,
AVENUE RD. AND LAWRENCE AVE.,119,2008,
AVENUE RD. AND LAWRENCE AVE.,119,2009,
AVENUE RD. AND LAWRENCE AVE.,119,2010,
AVENUE RD. AND LAWRENCE AVE.,119,2011,
