PX,Main,Side_1_Rou,Side_2_Rou,X,Y,Latitude,Longitude
12,JARVIS ST,ISABELLA ST,,314505.553,4836334.792,43.66883844,-79.37965121
76,UNIVERSITY AVE,WELLINGTON ST W,,314134.216,4833833.473,43.6463277,-79.38429899
78,UNIVERSITY AVE,ADELAIDE ST W,,314016.35,4834109.42,43.6488131,-79.38575526
79,UNIVERSITY AVE,RICHMOND ST W,,313956.877,4834244.655,43.65003114,-79.3864902
80,UNIVERSITY AVE,QUEEN ST W,,313929.489,4834329.874,43.65079708,-79.38682766
119,AVENUE RD,LAWRENCE AVE W,,311583.75,4842259.5,43.72220136,-79.41580693
131,YONGE ST,STEELES AVE,,311215.15,4850674,43.79794581,-79.4202811
205,LAKE SHORE BLVD W,YORK ST,,314395.658,4833286.911,43.64140429,-79.38106772
214,ADELAIDE ST E,PARLIAMENT ST,,315786.81,4834633.7,43.65350837,-79.3637983
215,LAKE SHORE BLVD W,SPADINA AVE,LOWER SPADINA AVE,313479.78,4832951.52,43.63839681,-79.39242514
222,LAKE SHORE BLVD W,STRACHAN AVE,REMEMBRANCE DR,312147.4,4832504.36,43.63438606,-79.40894436
223,RICHMOND ST E,PARLIAMENT ST,,315752.359,4834744.191,43.65450345,-79.36422314
224,LAKE SHORE BLVD W,JAMESON AVE,,310064.28,4832380.2,43.63328609,-79.43476146
230,LAKE SHORE BLVD W,PARK LAWN RD,MARINE PARADE DR,306300.41,4831226,43.62291367,-79.48140909
245,KING ST E,PARLIAMENT ST,,315815.43,4834541.09,43.65267432,-79.36344539
264,SIMCOE ST,WELLINGTON ST W,,314016.328,4833796.666,43.6459979,-79.38576091
273,SPADINA AVE,KING ST W,,313251.23,4833730.79,43.64541401,-79.39524554
293,DUNDAS ST E,RIVER ST,,316223.89,4835482.53,43.66114246,-79.35836195
378,DANFORTH RD,BRIMLEY RD,,325133.38,4843722,43.7351181,-79.24758836
379,EGLINTON AVE E,DANFORTH RD,,325231.06,4843936,43.73704168,-79.24636767
384,BATHURST ST,DAVENPORT RD,,311574.5,4837201.776,43.67667478,-79.41598523
412,LAWRENCE AVE E,KENNEDY RD,,322909.757,4845307.06,43.74944269,-79.27513736
419,LAWRENCE AVE E,GREENCEDAR CRCT,GREENBRAE CRCT,326277.63,4846282,43.75812894,-79.23328189
420,LAWRENCE AVE E,MARKHAM RD,,326901.358,4846466.062,43.75976682,-79.22552848
428,KEELE ST,LAWRENCE AVE W,,306552.19,4840745.79,43.70860486,-79.4782585
431,WESTON RD,LAWRENCE AVE W,,303478.324,4839801.38,43.70010477,-79.51639729
437,DIXON RD,MARTIN GROVE RD,,299073.772,4838851.96,43.69153772,-79.57103196
479,ST CLAIR AVE W,SPADINA RD,,311945.93,4838079.28,43.68457031,-79.41136732
494,ST CLAIR AVE W,RUNNYMEDE RD,,306109.517,4836339.052,43.6689388,-79.48376181
531,JANE ST,FALSTAFF AVE,GORDON MACKAY RD,304202.04,4841500.75,43.71540235,-79.50742044
532,WILSON AVE,JANE ST,,304088.54,4842107.21,43.72086121,-79.50882973
565,THE QUEENSWAY,ROYAL YORK RD,,304571.63,4831600,43.62628171,-79.50282979
597,KEELE ST,WILSON AVE,,306228.521,4842743.634,43.72658779,-79.48226577
602,STEELES AVE W,KEELE ST,,305226.508,4848846.578,43.78152446,-79.49470148
618,DUFFERIN ST,FINCH AVE W,,307446.97,4847433.2,43.76879769,-79.46712298
628,DON MILLS RD,VAN HORNE AVE,,316613.12,4849497.61,43.78729045,-79.35322846
648,SHEPPARD AVE E,BAYVIEW AVE,,313797.12,4847187.3,43.76653438,-79.38825438
690,WARDEN AVE,COMSTOCK RD,,322107.789,4842197.993,43.72147694,-79.28519546
700,ELLESMERE RD,BELLAMY RD N,,325572.987,4848074.002,43.77427914,-79.24196286
701,MARKHAM RD,SHEPPARD AVE E,,325808.25,4850245,43.793814,-79.23895565
717,ISLINGTON AVE,ALBION RD,,299523.84,4843922.5,43.73718281,-79.56549871
732,REXDALE BLVD,KIPLING AVE,,299408.97,4841086,43.71164971,-79.5668963
734,ALBION RD,KIPLING AVE,,298308,4844200,43.73967103,-79.58059559
775,ISLINGTON AVE,EVANS AVE,,303869.755,4830717.623,43.61833838,-79.51152534
786,EGLINTON AVE W,MARTIN GROVE RD,,299689.892,4836950.127,43.67442318,-79.56337065
790,REXDALE BLVD,MARTIN GROVE RD,,298247.554,4841324.914,43.7137909,-79.58131091
792,BLOOR ST W,THE EAST MALL,,300208.435,4832778.303,43.63687393,-79.55690512
808,FINCH AVE W,SENTINEL RD,,304784.02,4846567.34,43.76100858,-79.50019846
810,FINCH AVE W,SIGNET DR,ARROW RD,301864.05,4845704.51,43.75323618,-79.53645688
870,FINCH AVE W,NORFINCH DR,OAKDALE RD,302828.585,4845997.222,43.75587416,-79.52448093
878,MARKHAM RD,PROGRESS AVE,,326203.813,4848899.419,43.78169068,-79.23409368
911,THE QUEENSWAY,THE EAST MALL,,301048.13,4830499.28,43.61636416,-79.54648269
912,THE QUEENSWAY,THE WEST MALL,,299724.9,4830043.31,43.6122519,-79.56287217
920,KENNEDY RD,401 C E KENNEDY RD RAMP,WILLIAM KITCHEN RD,322183.48,4847937.083,43.77313275,-79.28407002
938,SHEPPARD AVE E,MCCOWAN RD,,324193.25,4849768,43.78956452,-79.25904039
972,JANE ST,STONG CRT,YORK GATE BLVD,303268.81,4846662.44,43.76186302,-79.51901614
992,FINCH AVE W,MARTIN GROVE RD,,297397.38,4843873.01,43.73671916,-79.59189606
1001,ALBION RD,FINCH AVE W,,297596.92,4844352.83,43.74104013,-79.5894254
