long,lat,incident_date,incident_time,location
-79.3815627,43.65591125,06/17/2016,1200,1 DUNDAS ST W
-79.394831,43.662464,10/08/2014,2209,10 KINGS COLLEGE CRCL
-79.38147234,43.64595898,06/07/2016,1400,100 FRONT ST W
-79.381714,43.6487781,10/06/2016,1657,100 KING ST W
-79.38362506,43.65282214,06/23/2015,1745,100 QUEEN ST W
-79.38878817,43.65980366,07/31/2014,1640,101 COLLEGE ST
-79.34805886,43.68816458,07/01/2016,2200,1015 PAPE AV
-79.41390151,43.6712264,09/26/2014,1450,1030 BATHURST ST
-79.3940886,43.6531806,11/02/2016,2150,106 BEVERLEY ST
-79.41924953,43.64945514,08/10/2014,1300,1097 DUNDAS ST W
-79.43401849,43.6599223,09/17/2016,116,1101 BLOOR ST W
-79.43194762,43.65251458,10/03/2015,935,1101 COLLEGE ST
-79.39611609,43.64693852,08/25/2015,1820,112 SPADINA AV
-79.33517642,43.66238242,05/07/2014,1120,1126 QUEEN ST E
-79.4242036,43.64331218,08/27/2016,2359,1136 QUEEN ST W
-79.44151645,43.67802999,09/25/2016,1250,1141 ST CLAIR AV W
-79.4246283,43.64328445,08/20/2016,2205,1150 QUEEN ST W
-79.43820314,43.65911119,09/05/2016,1830,1169 BLOOR ST W
-79.42830252,43.63899114,09/29/2015,950,1222 KING ST W
-79.40440842,43.66278926,05/10/2015,1000,124 HARBORD ST
-79.44033885,43.65915692,09/28/2014,1210,1252 BLOOR ST W
-79.32893424,43.66330406,10/19/2016,1655,1255 QUEEN ST E
-79.40450976,43.66276468,08/03/2016,1300,126 HARBORD ST
-79.44183803,43.65839986,07/09/2015,1230,1265 BLOOR ST W
-79.44133832,43.65883195,11/29/2015,2048,1274 BLOOR ST W
-79.44239208,43.6582747,10/18/2016,2000,1283 BLOOR ST W
-79.43798959,43.67364063,09/02/2016,1030,1307 DAVENPORT RD
-79.32455521,43.67149158,07/19/2016,1900,1365 GERRARD ST E
-79.3959536,43.6739876,07/28/2016,1915,137 AVENUE RD
-79.48859498,43.61106146,04/23/2016,1209,15 NORRIS CR
-79.39354909,43.66920275,10/09/2015,1115,150 BLOOR ST W
-79.43241883,43.64916379,05/16/2016,845,1525 DUNDAS ST W
-79.43305162,43.64952826,02/10/2015,1145,1537 DUNDAS ST W
-79.43320814,43.64954509,10/16/2014,1320,1541 DUNDAS ST W
-79.39998711,43.66672021,09/24/2015,1830,158 ST GEORGE ST
-79.375497,43.705732,06/16/2016,1752,1585 BAYVIEW AV
-79.40001247,43.66708718,10/22/2014,1540,162 ST GEORGE ST
-79.39024213,43.69981821,07/31/2014,905,172 DAVISVILLE AV
-79.35657571,43.67644202,08/11/2016,1720,175 DANFORTH AV
-79.38664591,43.65526994,08/28/2015,915,180 DUNDAS ST W
-79.32162099,43.66783327,07/23/2015,1244,1801 DUNDAS ST E
-79.31856261,43.68466525,07/28/2016,530,1810 DANFORTH AV
-79.39560371,43.67520698,08/05/2015,1830,190 DAVENPORT RD
-79.38555472,43.67072784,08/11/2014,1024,2 BLOOR ST E
-79.37092273,43.65711866,08/31/2015,1821,200 SHERBOURNE ST
-79.38756403,43.64694178,06/03/2016,1850,215 KING ST W
-79.40125431,43.67210851,06/09/2015,1855,217 ST GEORGE ST
-79.44861563,43.64580943,12/19/2014,940,219 RONCESVALLES AV
-79.29678688,43.67046759,05/27/2014,2134,2199 QUEEN ST E
-79.39640601,43.66872208,08/13/2014,1252,220 BLOOR STREET WEST
-79.28803225,43.67278484,08/22/2015,1208,2224 QUEEN ST E
-79.47888039,43.65083277,09/23/2015,1631,2290 BLOOR ST W
-79.36558268,43.65740963,09/13/2016,1130,234 PARLIAMENT ST
-79.39268517,43.6579181,09/24/2015,2135,235 MC CAUL ST
-79.44618258,43.66180899,07/06/2015,1345,235 WALLACE AV
-79.39900088,43.70846848,10/05/2016,1539,2350 YONGE ST
-79.45324212,43.65693632,07/21/2016,1400,2365 DUNDAS ST W
-79.36867624,43.65488048,09/10/2014,855,238 QUEEN ST E
-79.28612717,43.67267151,08/22/2015,1221,2401 QUEEN ST E
-79.48864693,43.61435646,01/28/2016,803,2405 LAKE SHORE BV W
-79.37940154,43.65525497,06/09/2014,945,244 VICTORIA ST
-79.3960493,43.65657174,11/25/2015,830,25 CECIL ST
-79.40420382,43.66825796,10/21/2016,1600,25 SPADINA RD
-79.39911766,43.65858395,08/08/2014,1901,250 COLLEGE ST
-79.38041873,43.65349765,12/23/2014,1740,250 YONGE ST
-79.3709201,43.6592994,06/04/2015,1445,251 SHERBOURNE ST
-79.3709201,43.6592994,06/11/2015,1637,251 SHERBOURNE ST
-79.36823459,43.65437977,06/06/2015,2110,257 QUEEN ST E
-79.38948016,43.64784227,07/15/2016,1420,263 ADELAIDE ST W
-79.38778647,43.64723582,06/22/2016,2010,266 KING ST W
-79.41521291,43.64233591,11/01/2014,1445,27 SHAW ST
-79.39239419,43.68834573,08/31/2016,830,27 ST CLAIR AV E
-79.29835808,43.68929737,08/25/2015,2234,2714 DANFORTH AV
